"ngrams","I","n","S"
"toror","C",1,"Cosmos"
"tos","C",1,"Cosmos"
"tshdcsey","C",1,"Cosmos"
"tshed","C",1,"Cosmos"
"tshedal","C",1,"Cosmos"
"tshey","C",1,"Cosmos"
"tshy","C",1,"Cosmos"
"v","C",7,"Cosmos"
"vo","C",1,"Cosmos"
"x","C",6,"Cosmos"
"xar","C",1,"Cosmos"
"xdor","C",1,"Cosmos"
"y","C",13,"Cosmos"
"yaiin","C",1,"Cosmos"
"ych","C",1,"Cosmos"
"ychedy","C",2,"Cosmos"
"ycheeo","C",1,"Cosmos"
"ycheeody","C",1,"Cosmos"
"ycheeytydaiin","C",1,"Cosmos"
"ychey","C",4,"Cosmos"
"ychor","C",1,"Cosmos"
"ycseol","C",1,"Cosmos"
"ydaiil","C",1,"Cosmos"
"ydy","C",1,"Cosmos"
"yekey","C",1,"Cosmos"
"yfcheodly","C",1,"Cosmos"
"ykady","C",1,"Cosmos"
"ykaiin","C",15,"Cosmos"
"ykain","C",1,"Cosmos"
"ykairolky","C",1,"Cosmos"
"ykal","C",1,"Cosmos"
"ykaldy","C",1,"Cosmos"
"ykalo","C",1,"Cosmos"
"ykar","C",9,"Cosmos"
"ykay","C",1,"Cosmos"
"ykchal","C",1,"Cosmos"
"ykched","C",1,"Cosmos"
"ykchedy","C",1,"Cosmos"
"ykcho","C",1,"Cosmos"
"ykchy","C",2,"Cosmos"
"ykeal","C",1,"Cosmos"
"ykechody","C",1,"Cosmos"
"ykedy","C",2,"Cosmos"
"ykeealar","C",1,"Cosmos"
"ykeedy","C",1,"Cosmos"
"ykeeedy","C",2,"Cosmos"
"ykeeeedaiir","C",1,"Cosmos"
"ykeeo","C",2,"Cosmos"
"ykeeody","C",2,"Cosmos"
"ykeeol","C",1,"Cosmos"
"ykeeos","C",1,"Cosmos"
"ykees","C",1,"Cosmos"
"ykeeshy","C",1,"Cosmos"
"ykeey","C",4,"Cosmos"
"ykeody","C",2,"Cosmos"
"ykeoees","C",1,"Cosmos"
"ykeol","C",2,"Cosmos"
"ykes","C",1,"Cosmos"
"ykeshy","C",1,"Cosmos"
"ykey","C",1,"Cosmos"
"ykeydy","C",1,"Cosmos"
"yky","C",3,"Cosmos"
"ylchedor","C",1,"Cosmos"
"ylcho","C",1,"Cosmos"
"ypar","C",1,"Cosmos"
"ypchdy","C",1,"Cosmos"
"ypchery","C",1,"Cosmos"
"ypchey","C",2,"Cosmos"
"ypchor","C",1,"Cosmos"
"ypolol","C",1,"Cosmos"
"ypsheor","C",1,"Cosmos"
"ysheedy","C",1,"Cosmos"
"ysheey","C",1,"Cosmos"
"ysheoar","C",1,"Cosmos"
"yshey","C",1,"Cosmos"
"ytaiin","C",16,"Cosmos"
"ytaiir","C",1,"Cosmos"
"ytaim","C",1,"Cosmos"
"ytair","C",2,"Cosmos"
"ytal","C",4,"Cosmos"
"ytaly","C",1,"Cosmos"
"ytam","C",2,"Cosmos"
"ytar","C",8,"Cosmos"
"ytarar","C",1,"Cosmos"
"ytary","C",1,"Cosmos"
"ytchcseey","C",1,"Cosmos"
"ytchdy","C",2,"Cosmos"
"ytcheas","C",1,"Cosmos"
"ytcheodar","C",1,"Cosmos"
"ytchey","C",4,"Cosmos"
"ytchol","C",1,"Cosmos"
"ytchy","C",2,"Cosmos"
"ytdar","C",1,"Cosmos"
"ytechy","C",1,"Cosmos"
"ytedar","C",1,"Cosmos"
"ytedy","C",2,"Cosmos"
"yteedy","C",3,"Cosmos"
"yteeedy","C",1,"Cosmos"
"yteeo","C",2,"Cosmos"
"yteeody","C",2,"Cosmos"
"yteey","C",10,"Cosmos"
"yteody","C",4,"Cosmos"
"ytey","C",2,"Cosmos"
"yto","C",1,"Cosmos"
"ytody","C",4,"Cosmos"
"ytor","C",1,"Cosmos"
"ytory","C",1,"Cosmos"
"ytshy","C",1,"Cosmos"
"yty","C",4,"Cosmos"
"ytyda","C",1,"Cosmos"
"yy","C",1,"Cosmos"
"acthedy","H",1,"Herbal"
"adeeody","H",1,"Herbal"
"aiicthy","H",1,"Herbal"
"aiiin","H",4,"Herbal"
"aiim","H",1,"Herbal"
"aiin","H",105,"Herbal"
"aiir","H",4,"Herbal"
"aiis","H",1,"Herbal"
"aim","H",2,"Herbal"
"ain","H",9,"Herbal"
"ainy","H",1,"Herbal"
"air","H",11,"Herbal"
"aithy","H",1,"Herbal"
"akarar","H",1,"Herbal"
"al","H",23,"Herbal"
"alaiin","H",2,"Herbal"
"alam","H",1,"Herbal"
"alchdy","H",1,"Herbal"
"alchey","H",2,"Herbal"
"alchy","H",1,"Herbal"
"ald","H",1,"Herbal"
"aldam","H",1,"Herbal"
"aldar","H",1,"Herbal"
"aldy","H",5,"Herbal"
"aldydy","H",1,"Herbal"
"alfshed","H",1,"Herbal"
"alg","H",1,"Herbal"
"alkey","H",1,"Herbal"
"alod","H",1,"Herbal"
"alody","H",1,"Herbal"
"alol","H",1,"Herbal"
"aloldy","H",1,"Herbal"
"als","H",3,"Herbal"
"alshey","H",2,"Herbal"
"aly","H",3,"Herbal"
"alys","H",1,"Herbal"
"am","H",19,"Herbal"
"an","H",2,"Herbal"
"ar","H",68,"Herbal"
"aral","H",1,"Herbal"
"aralos","H",1,"Herbal"
"aram","H",2,"Herbal"
"arar","H",1,"Herbal"
"arcsy","H",1,"Herbal"
"aree","H",1,"Herbal"
"arg","H",1,"Herbal"
"ariin","H",1,"Herbal"
"arl","H",1,"Herbal"
"arod","H",1,"Herbal"
"arodl","H",1,"Herbal"
"arody","H",1,"Herbal"
"arol","H",1,"Herbal"
"ary","H",2,"Herbal"
"as","H",1,"Herbal"
"cfham","H",1,"Herbal"
"cfhar","H",2,"Herbal"
"cfhdy","H",1,"Herbal"
"cfhekchdy","H",1,"Herbal"
"cfheody","H",1,"Herbal"
"cfheos","H",1,"Herbal"
"cfhodar","H",1,"Herbal"
"cfhol","H",4,"Herbal"
"cfhs","H",1,"Herbal"
"cfhy","H",5,"Herbal"
"cha","H",2,"Herbal"
"chad","H",1,"Herbal"
"chadaiin","H",1,"Herbal"
"chaiin","H",36,"Herbal"
"chaiir","H",1,"Herbal"
"chain","H",8,"Herbal"
"chaindy","H",1,"Herbal"
"chair","H",1,"Herbal"
"chakeey","H",1,"Herbal"
"chakod","H",1,"Herbal"
"chal","H",6,"Herbal"
"chald","H",1,"Herbal"
"chals","H",2,"Herbal"
"cham","H",11,"Herbal"
"chan","H",9,"Herbal"
"chapchy","H",1,"Herbal"
"char","H",28,"Herbal"
"chariin","H",1,"Herbal"
"chary","H",3,"Herbal"
"chas","H",1,"Herbal"
"chcfhal","H",1,"Herbal"
"chcfhhy","H",3,"Herbal"
"chcfhol","H",1,"Herbal"
"chchoty","H",1,"Herbal"
"chchsty","H",1,"Herbal"
"chckh","H",2,"Herbal"
"chckhaiin","H",1,"Herbal"
"chckhal","H",1,"Herbal"
"chckhaly","H",1,"Herbal"
"chckham","H",1,"Herbal"
"chckhan","H",1,"Herbal"
"chckhd","H",2,"Herbal"
"chckhdy","H",4,"Herbal"
"chckhedy","H",1,"Herbal"
"chckheey","H",1,"Herbal"
"chckheody","H",1,"Herbal"
"chckhey","H",6,"Herbal"
"chckhhhy","H",1,"Herbal"
"chckhhy","H",2,"Herbal"
"chckhol","H",1,"Herbal"
"chckhor","H",1,"Herbal"
"chckhoy","H",1,"Herbal"
"chckhs","H",1,"Herbal"
"chckhy","H",51,"Herbal"
"chckshy","H",1,"Herbal"
"chcky","H",1,"Herbal"
"chcpaiin","H",1,"Herbal"
"chcphedy","H",1,"Herbal"
"chcphhy","H",1,"Herbal"
"chcphol","H",1,"Herbal"
"chcphy","H",5,"Herbal"
"chct","H",1,"Herbal"
"chctey","H",1,"Herbal"
"chcth","H",3,"Herbal"
"chcthaiin","H",1,"Herbal"
"chcthal","H",1,"Herbal"
"chctham","H",1,"Herbal"
"chcthdy","H",1,"Herbal"
"chcthedy","H",1,"Herbal"
"chcthey","H",1,"Herbal"
"chcthhy","H",1,"Herbal"
"chctho","H",2,"Herbal"
"chcthod","H",1,"Herbal"
"chcthody","H",2,"Herbal"
"chcthor","H",1,"Herbal"
"chcthosy","H",1,"Herbal"
"chcthy","H",25,"Herbal"
"chd","H",5,"Herbal"
"chdaiin","H",6,"Herbal"
"chdain","H",3,"Herbal"
"chdal","H",6,"Herbal"
"chdalor","H",1,"Herbal"
"chdaly","H",1,"Herbal"
"chdam","H",6,"Herbal"
"chdar","H",2,"Herbal"
"chdchy","H",1,"Herbal"
"chdlcty","H",1,"Herbal"
"chdody","H",1,"Herbal"
"chdolaiin","H",1,"Herbal"
"chdoly","H",1,"Herbal"
"chdor","H",1,"Herbal"
"chdy","H",59,"Herbal"
"cheady","H",1,"Herbal"
"cheaiin","H",2,"Herbal"
"cheain","H",2,"Herbal"
"cheal","H",2,"Herbal"
"cheam","H",1,"Herbal"
"chean","H",2,"Herbal"
"chear","H",14,"Herbal"
"cheas","H",1,"Herbal"
"chechey","H",1,"Herbal"
"checkhdy","H",1,"Herbal"
"checkhey","H",2,"Herbal"
"checkhy","H",8,"Herbal"
"checthedy","H",1,"Herbal"
"checthhy","H",1,"Herbal"
"checthy","H",4,"Herbal"
"ched","H",3,"Herbal"
"chedaiin","H",3,"Herbal"
"chedain","H",1,"Herbal"
"chedal","H",2,"Herbal"
"chedar","H",2,"Herbal"
"chedy","H",67,"Herbal"
"chedyty","H",1,"Herbal"
"chee","H",1,"Herbal"
"cheeal","H",1,"Herbal"
"cheeckhody","H",1,"Herbal"
"cheecthy","H",1,"Herbal"
"cheedls","H",1,"Herbal"
"cheedy","H",2,"Herbal"
"cheeen","H",1,"Herbal"
"cheeey","H",2,"Herbal"
"cheef","H",1,"Herbal"
"cheekaiin","H",1,"Herbal"
"cheekdam","H",1,"Herbal"
"cheekeo","H",1,"Herbal"
"cheeky","H",5,"Herbal"
"cheen","H",2,"Herbal"
"cheeody","H",3,"Herbal"
"cheeol","H",3,"Herbal"
"cheeor","H",5,"Herbal"
"cheeos","H",2,"Herbal"
"cheeotaiin","H",1,"Herbal"
"cheeoy","H",1,"Herbal"
"cheepaiin","H",1,"Herbal"
"chees","H",11,"Herbal"
"cheesees","H",1,"Herbal"
"cheet","H",1,"Herbal"
"cheetam","H",1,"Herbal"
"cheey","H",22,"Herbal"
"cheeykam","H",1,"Herbal"
"chef","H",1,"Herbal"
"chefaiin","H",1,"Herbal"
"chefain","H",1,"Herbal"
"chefal","H",1,"Herbal"
"chefar","H",1,"Herbal"
"chefchdy","H",1,"Herbal"
"chefchol","H",1,"Herbal"
"chefchy","H",1,"Herbal"
"cheg","H",1,"Herbal"
"chek","H",2,"Herbal"
"chekaiin","H",5,"Herbal"
"chekal","H",5,"Herbal"
"chekaly","H",1,"Herbal"
"chekar","H",4,"Herbal"
"chekchdy","H",1,"Herbal"
"chekcheey","H",1,"Herbal"
"chekchey","H",1,"Herbal"
"chekchoy","H",1,"Herbal"
"cheked","H",1,"Herbal"
"chekedy","H",4,"Herbal"
"chekeedy","H",2,"Herbal"
"chekeg","H",1,"Herbal"
"chekeol","H",1,"Herbal"
"chekeor","H",1,"Herbal"
"chekey","H",3,"Herbal"
"chekhol","H",1,"Herbal"
"chekl","H",1,"Herbal"
"chekody","H",1,"Herbal"
"chekol","H",1,"Herbal"
"cheky","H",25,"Herbal"
"chelal","H",1,"Herbal"
"cheo","H",16,"Herbal"
"cheoar","H",1,"Herbal"
"cheockhy","H",2,"Herbal"
"cheocthy","H",2,"Herbal"
"cheod","H",3,"Herbal"
"cheodaiin","H",4,"Herbal"
"cheodal","H",2,"Herbal"
"cheodar","H",2,"Herbal"
"cheodor","H",1,"Herbal"
"cheody","H",21,"Herbal"
"cheoet","H",1,"Herbal"
"cheoiees","H",1,"Herbal"
"cheokar","H",1,"Herbal"
"cheokeey","H",2,"Herbal"
"cheokor","H",1,"Herbal"
"cheoky","H",1,"Herbal"
"cheol","H",33,"Herbal"
"cheom","H",1,"Herbal"
"cheooky","H",1,"Herbal"
"cheop","H",1,"Herbal"
"cheor","H",38,"Herbal"
"cheory","H",2,"Herbal"
"cheos","H",10,"Herbal"
"cheot","H",1,"Herbal"
"cheotar","H",1,"Herbal"
"cheoteey","H",1,"Herbal"
"cheotey","H",1,"Herbal"
"cheotol","H",2,"Herbal"
"cheoy","H",1,"Herbal"
"chep","H",1,"Herbal"
"chepar","H",2,"Herbal"
"chepchdy","H",1,"Herbal"
"chepchefy","H",1,"Herbal"
"chepcheol","H",1,"Herbal"
"chepchx","H",1,"Herbal"
"chepchy","H",1,"Herbal"
"chepy","H",2,"Herbal"
"cher","H",1,"Herbal"
"ches","H",5,"Herbal"
"chesey","H",1,"Herbal"
"chesy","H",1,"Herbal"
"chet","H",1,"Herbal"
"chetaiin","H",2,"Herbal"
"chetan","H",1,"Herbal"
"chetar","H",2,"Herbal"
"chetchaiin","H",1,"Herbal"
"chetchdy","H",1,"Herbal"
"chetchey","H",1,"Herbal"
"chetcho","H",1,"Herbal"
"chetchy","H",3,"Herbal"
"chetedy","H",1,"Herbal"
"chetey","H",1,"Herbal"
"chetody","H",1,"Herbal"
"chety","H",11,"Herbal"
"chey","H",72,"Herbal"
"chiin","H",1,"Herbal"
"chk","H",1,"Herbal"
"chka","H",1,"Herbal"
"chkaiin","H",9,"Herbal"
"chkain","H",2,"Herbal"
"chkal","H",2,"Herbal"
"chkaly","H",1,"Herbal"
"chkam","H",1,"Herbal"
"chkar","H",7,"Herbal"
"chkchean","H",1,"Herbal"
"chkcheean","H",1,"Herbal"
"chkchod","H",1,"Herbal"
"chkchody","H",1,"Herbal"
"chkchol","H",1,"Herbal"
"chkchory","H",1,"Herbal"
"chkchy","H",6,"Herbal"
"chkeaiin","H",1,"Herbal"
"chkear","H",1,"Herbal"
"chkedy","H",2,"Herbal"
"chkeeey","H",1,"Herbal"
"chkeey","H",8,"Herbal"
"chkey","H",3,"Herbal"
"chko","H",1,"Herbal"
"chkodal","H",1,"Herbal"
"chkol","H",2,"Herbal"
"chkoldy","H",2,"Herbal"
"chkor","H",1,"Herbal"
"chkoy","H",1,"Herbal"
"chky","H",10,"Herbal"
"chl","H",7,"Herbal"
"chlol","H",1,"Herbal"
"cho","H",40,"Herbal"
"choaiin","H",2,"Herbal"
"choal","H",1,"Herbal"
"chocfhhg","H",1,"Herbal"
"chocfhor","H",1,"Herbal"
"chochar","H",1,"Herbal"
"chochor","H",2,"Herbal"
"chochy","H",4,"Herbal"
"chockhdy","H",1,"Herbal"
"chockhey","H",1,"Herbal"
"chockhol","H",1,"Herbal"
"chockhor","H",1,"Herbal"
"chockhy","H",7,"Herbal"
"chocpheod","H",1,"Herbal"
"chocphor","H",1,"Herbal"
"chocphy","H",2,"Herbal"
"chocthey","H",3,"Herbal"
"chocthody","H",1,"Herbal"
"chocthy","H",12,"Herbal"
"choctoy","H",1,"Herbal"
"chocty","H",2,"Herbal"
"chod","H",4,"Herbal"
"chodaiin","H",22,"Herbal"
"chodaiindy","H",1,"Herbal"
"chodain","H",3,"Herbal"
"chodair","H",1,"Herbal"
"chodal","H",2,"Herbal"
"chodalg","H",1,"Herbal"
"chodaly","H",3,"Herbal"
"chodam","H",1,"Herbal"
"chodar","H",6,"Herbal"
"chodchy","H",1,"Herbal"
"choddal","H",1,"Herbal"
"chodey","H",2,"Herbal"
"chodl","H",1,"Herbal"
"chodo","H",1,"Herbal"
"chodol","H",1,"Herbal"
"chodoldy","H",1,"Herbal"
"chodr","H",1,"Herbal"
"chody","H",46,"Herbal"
"chodykchy","H",1,"Herbal"
"choeee","H",1,"Herbal"
"choees","H",1,"Herbal"
"choek","H",1,"Herbal"
"choeky","H",1,"Herbal"
"choetchy","H",1,"Herbal"
"choety","H",1,"Herbal"
"chof","H",1,"Herbal"
"chofchy","H",1,"Herbal"
"chofy","H",1,"Herbal"
"chofydy","H",1,"Herbal"
"choiin","H",13,"Herbal"
"chok","H",2,"Herbal"
"chokaiin","H",7,"Herbal"
"chokain","H",1,"Herbal"
"chokal","H",3,"Herbal"
"chokaly","H",1,"Herbal"
"chokam","H",2,"Herbal"
"chokan","H",2,"Herbal"
"chokchaiin","H",1,"Herbal"
"chokcheey","H",1,"Herbal"
"chokcheo","H",1,"Herbal"
"chokchey","H",1,"Herbal"
"chokcho","H",1,"Herbal"
"chokchol","H",4,"Herbal"
"chokchor","H",1,"Herbal"
"chokchy","H",12,"Herbal"
"chokeeo","H",1,"Herbal"
"chokeeody","H",1,"Herbal"
"chokeeoky","H",1,"Herbal"
"chokeeor","H",1,"Herbal"
"chokeey","H",3,"Herbal"
"chokeo","H",2,"Herbal"
"chokeody","H",4,"Herbal"
"chokeol","H",1,"Herbal"
"chokeor","H",1,"Herbal"
"chokeos","H",1,"Herbal"
"chokesey","H",1,"Herbal"
"chokey","H",3,"Herbal"
"choko","H",1,"Herbal"
"chokoaiin","H",1,"Herbal"
"chokody","H",2,"Herbal"
"chokoiin","H",1,"Herbal"
"chokoishe","H",1,"Herbal"
"chokokor","H",1,"Herbal"
"chokol","H",1,"Herbal"
"chokoldy","H",1,"Herbal"
"chokor","H",3,"Herbal"
"chokoran","H",1,"Herbal"
"chokshchy","H",1,"Herbal"
"chokshor","H",1,"Herbal"
"chokshy","H",1,"Herbal"
"choksy","H",1,"Herbal"
"choky","H",22,"Herbal"
"chol","H",232,"Herbal"
"cholaiin","H",1,"Herbal"
"cholal","H",2,"Herbal"
"choldar","H",1,"Herbal"
"choldchy","H",1,"Herbal"
"choldshy","H",1,"Herbal"
"choldy","H",3,"Herbal"
"cholkal","H",1,"Herbal"
"cholky","H",3,"Herbal"
"cholo","H",1,"Herbal"
"cholody","H",3,"Herbal"
"cholol","H",1,"Herbal"
"chololer","H",1,"Herbal"
"cholols","H",1,"Herbal"
"chololy","H",1,"Herbal"
"cholor","H",2,"Herbal"
"chols","H",1,"Herbal"
"cholsho","H",1,"Herbal"
"cholty","H",1,"Herbal"
"choly","H",8,"Herbal"
"chom","H",11,"Herbal"
"chon","H",1,"Herbal"
"choody","H",1,"Herbal"
"choor","H",2,"Herbal"
"chop","H",1,"Herbal"
"chopchal","H",1,"Herbal"
"chopcho","H",1,"Herbal"
"chopchol","H",1,"Herbal"
"chopchy","H",2,"Herbal"
"chopdain","H",1,"Herbal"
"chopol","H",1,"Herbal"
"chopy","H",1,"Herbal"
"chor","H",159,"Herbal"
"choraiin","H",1,"Herbal"
"chorain","H",1,"Herbal"
"choraly","H",1,"Herbal"
"chorchor","H",1,"Herbal"
"chorchy","H",1,"Herbal"
"chordy","H",2,"Herbal"
"chorochy","H",1,"Herbal"
"chorody","H",1,"Herbal"
"choroiin","H",1,"Herbal"
"chorol","H",1,"Herbal"
"choror","H",2,"Herbal"
"choross","H",1,"Herbal"
"chory","H",9,"Herbal"
"chos","H",12,"Herbal"
"chosar","H",1,"Herbal"
"choschy","H",1,"Herbal"
"choshy","H",3,"Herbal"
"chosory","H",1,"Herbal"
"chosy","H",1,"Herbal"
"chot","H",3,"Herbal"
"chotaiin","H",6,"Herbal"
"chotain","H",1,"Herbal"
"chotais","H",1,"Herbal"
"chotal","H",1,"Herbal"
"chotar","H",2,"Herbal"
"chotcheey","H",1,"Herbal"
"chotcheol","H",1,"Herbal"
"chotchey","H",3,"Herbal"
"chotcho","H",1,"Herbal"
"chotchol","H",1,"Herbal"
"chotchy","H",11,"Herbal"
"choteeen","H",1,"Herbal"
"choteeey","H",1,"Herbal"
"choteey","H",1,"Herbal"
"chotehy","H",1,"Herbal"
"choteol","H",2,"Herbal"
"chotey","H",2,"Herbal"
"choto","H",1,"Herbal"
"chotody","H",1,"Herbal"
"chotol","H",5,"Herbal"
"chotols","H",1,"Herbal"
"chotom","H",2,"Herbal"
"chotor","H",3,"Herbal"
"chots","H",1,"Herbal"
"chotshol","H",2,"Herbal"
"chotshy","H",1,"Herbal"
"choty","H",19,"Herbal"
"choy","H",9,"Herbal"
"chpady","H",1,"Herbal"
"chpal","H",1,"Herbal"
"chpcheos","H",1,"Herbal"
"chpchey","H",1,"Herbal"
"chpchol","H",1,"Herbal"
"chpdy","H",1,"Herbal"
"chpy","H",1,"Herbal"
"chr","H",3,"Herbal"
"chrky","H",1,"Herbal"
"chs","H",7,"Herbal"
"chschsa","H",1,"Herbal"
"chseeor","H",1,"Herbal"
"chsey","H",1,"Herbal"
"chshd","H",1,"Herbal"
"chshol","H",1,"Herbal"
"chshoty","H",1,"Herbal"
"chshy","H",1,"Herbal"
"chtaiin","H",1,"Herbal"
"chtain","H",1,"Herbal"
"chtal","H",1,"Herbal"
"chtar","H",1,"Herbal"
"chtchey","H",1,"Herbal"
"chtchor","H",1,"Herbal"
"chtchy","H",1,"Herbal"
"chtedy","H",1,"Herbal"
"chteeor","H",1,"Herbal"
"chteody","H",1,"Herbal"
"chteor","H",1,"Herbal"
"chtey","H",1,"Herbal"
"chtod","H",1,"Herbal"
"chtody","H",1,"Herbal"
"chtoiin","H",1,"Herbal"
"chtoithy","H",1,"Herbal"
"chtol","H",3,"Herbal"
"chtols","H",1,"Herbal"
"chtor","H",1,"Herbal"
"chtshar","H",1,"Herbal"
"chtshy","H",1,"Herbal"
"chty","H",7,"Herbal"
"chy","H",104,"Herbal"
"chyd","H",1,"Herbal"
"chykald","H",1,"Herbal"
"chykar","H",1,"Herbal"
"chykchy","H",2,"Herbal"
"chyky","H",4,"Herbal"
"chypcham","H",1,"Herbal"
"chypchey","H",1,"Herbal"
"chypchy","H",1,"Herbal"
"chyt","H",1,"Herbal"
"chytaroiin","H",1,"Herbal"
"chyty","H",4,"Herbal"
"ckcheey","H",1,"Herbal"
"ckchol","H",1,"Herbal"
"ckhaiin","H",3,"Herbal"
"ckhal","H",2,"Herbal"
"ckham","H",3,"Herbal"
"ckhchdy","H",1,"Herbal"
"ckhdy","H",3,"Herbal"
"ckhear","H",1,"Herbal"
"ckheckhy","H",1,"Herbal"
"ckhedy","H",1,"Herbal"
"ckheeey","H",1,"Herbal"
"ckheeody","H",1,"Herbal"
"ckheey","H",4,"Herbal"
"ckheo","H",1,"Herbal"
"ckheod","H",1,"Herbal"
"ckheodar","H",1,"Herbal"
"ckheody","H",4,"Herbal"
"ckheokey","H",1,"Herbal"
"ckheol","H",2,"Herbal"
"ckheor","H",1,"Herbal"
"ckheos","H",3,"Herbal"
"ckhey","H",13,"Herbal"
"ckhhy","H",2,"Herbal"
"ckho","H",2,"Herbal"
"ckhochy","H",1,"Herbal"
"ckhody","H",4,"Herbal"
"ckhoiin","H",1,"Herbal"
"ckhol","H",15,"Herbal"
"ckholdy","H",1,"Herbal"
"ckholsy","H",1,"Herbal"
"ckholy","H",1,"Herbal"
"ckhor","H",7,"Herbal"
"ckhos","H",3,"Herbal"
"ckhoy","H",1,"Herbal"
"ckhs","H",1,"Herbal"
"ckhy","H",31,"Herbal"
"ckooaiin","H",1,"Herbal"
"cky","H",1,"Herbal"
"coain","H",1,"Herbal"
"cphaiin","H",5,"Herbal"
"cphal","H",1,"Herbal"
"cphaldy","H",1,"Herbal"
"cphar","H",2,"Herbal"
"cpharom","H",1,"Herbal"
"cphary","H",1,"Herbal"
"cphchar","H",1,"Herbal"
"cphdaithy","H",1,"Herbal"
"cpheckhy","H",2,"Herbal"
"cphedom","H",1,"Herbal"
"cphedy","H",1,"Herbal"
"cpheeaiin","H",1,"Herbal"
"cpheo","H",1,"Herbal"
"cpheodor","H",1,"Herbal"
"cpheody","H",2,"Herbal"
"cpheol","H",2,"Herbal"
"cpheor","H",2,"Herbal"
"cpheos","H",1,"Herbal"
"cphey","H",2,"Herbal"
"cphheg","H",1,"Herbal"
"cphhofy","H",1,"Herbal"
"cphhy","H",1,"Herbal"
"cpho","H",1,"Herbal"
"cphoaiin","H",1,"Herbal"
"cphoal","H",1,"Herbal"
"cphod","H",1,"Herbal"
"cphodal","H",1,"Herbal"
"cphodol","H",1,"Herbal"
"cphody","H",1,"Herbal"
"cphokchol","H",1,"Herbal"
"cphol","H",8,"Herbal"
"cpholdy","H",2,"Herbal"
"cphom","H",1,"Herbal"
"cphor","H",5,"Herbal"
"cphorods","H",1,"Herbal"
"cphoy","H",1,"Herbal"
"cphy","H",12,"Herbal"
"cs","H",2,"Herbal"
"cshe","H",1,"Herbal"
"ctchy","H",2,"Herbal"
"ctechy","H",1,"Herbal"
"ctey","H",1,"Herbal"
"cth","H",4,"Herbal"
"ctha","H",1,"Herbal"
"cthachcthy","H",1,"Herbal"
"cthaichar","H",1,"Herbal"
"cthaiin","H",12,"Herbal"
"cthaildy","H",1,"Herbal"
"cthain","H",4,"Herbal"
"cthal","H",5,"Herbal"
"ctham","H",1,"Herbal"
"cthan","H",1,"Herbal"
"cthar","H",15,"Herbal"
"cthchy","H",1,"Herbal"
"cthd","H",1,"Herbal"
"cthdaly","H",1,"Herbal"
"cthdy","H",2,"Herbal"
"cthedy","H",3,"Herbal"
"ctheees","H",1,"Herbal"
"ctheen","H",1,"Herbal"
"cthees","H",1,"Herbal"
"ctheety","H",1,"Herbal"
"ctheey","H",7,"Herbal"
"ctheo","H",1,"Herbal"
"ctheod","H",2,"Herbal"
"ctheodal","H",1,"Herbal"
"ctheodody","H",1,"Herbal"
"ctheody","H",4,"Herbal"
"ctheol","H",3,"Herbal"
"ctheor","H",4,"Herbal"
"ctheos","H",1,"Herbal"
"cthes","H",1,"Herbal"
"cthey","H",32,"Herbal"
"cthhy","H",3,"Herbal"
"cthl","H",1,"Herbal"
"ctho","H",14,"Herbal"
"cthochy","H",1,"Herbal"
"cthod","H",4,"Herbal"
"cthodaiin","H",1,"Herbal"
"cthodaim","H",1,"Herbal"
"cthodal","H",1,"Herbal"
"cthodam","H",1,"Herbal"
"cthodar","H",1,"Herbal"
"cthodd","H",1,"Herbal"
"cthodoaly","H",1,"Herbal"
"cthodol","H",1,"Herbal"
"cthody","H",12,"Herbal"
"cthoepain","H",1,"Herbal"
"cthog","H",1,"Herbal"
"cthoiin","H",2,"Herbal"
"cthol","H",48,"Herbal"
"ctholdg","H",1,"Herbal"
"ctholdy","H",1,"Herbal"
"ctholo","H",1,"Herbal"
"ctholy","H",3,"Herbal"
"cthom","H",9,"Herbal"
"cthoo","H",1,"Herbal"
"cthoor","H",1,"Herbal"
"cthor","H",40,"Herbal"
"cthorchy","H",1,"Herbal"
"cthory","H",2,"Herbal"
"cthos","H",1,"Herbal"
"cthoshol","H",1,"Herbal"
"cthosy","H",1,"Herbal"
"cths","H",1,"Herbal"
"cthscthain","H",1,"Herbal"
"cthy","H",97,"Herbal"
"cthyaiin","H",1,"Herbal"
"cthyd","H",1,"Herbal"
"cto","H",3,"Herbal"
"ctol","H",1,"Herbal"
"ctos","H",1,"Herbal"
"cty","H",4,"Herbal"
"d","H",27,"Herbal"
"da","H",5,"Herbal"
"dachy","H",1,"Herbal"
"dady","H",2,"Herbal"
"daid","H",1,"Herbal"
"daiidal","H",1,"Herbal"
"daiidy","H",3,"Herbal"
"daiiin","H",8,"Herbal"
"daiiiny","H",1,"Herbal"
"daiiirchy","H",1,"Herbal"
"daiiithy","H",1,"Herbal"
"daiildy","H",1,"Herbal"
"daiim","H",3,"Herbal"
"daiin","H",473,"Herbal"
"daiinol","H",1,"Herbal"
"daiiny","H",1,"Herbal"
"daiioam","H",1,"Herbal"
"daiiody","H",1,"Herbal"
"daiir","H",8,"Herbal"
"daiirol","H",1,"Herbal"
"daiiry","H",1,"Herbal"
"daiis","H",3,"Herbal"
"daiity","H",1,"Herbal"
"daiiy","H",1,"Herbal"
"daim","H",6,"Herbal"
"daimm","H",1,"Herbal"
"dain","H",64,"Herbal"
"daind","H",1,"Herbal"
"dainod","H",1,"Herbal"
"dair","H",33,"Herbal"
"daird","H",1,"Herbal"
